day,susceptibleCount,exposedCount,infectedCount,recoveredCount
0,19966,14,20,0
1,19944,31,23,2
2,19920,44,31,5
3,19898,56,37,9
4,19868,70,47,15
5,19834,86,58,22
6,19793,103,73,31
7,19750,121,87,42
8,19683,152,108,57
9,19597,195,139,69
10,19493,244,173,90
11,19365,300,225,110
12,19198,385,284,133
13,19001,483,344,172
14,18764,579,438,219
15,18490,682,570,258
16,18135,839,693,333
17,17675,1068,829,428
18,17144,1294,1029,533
19,16463,1611,1241,685
20,15697,1899,1566,838
21,14797,2237,1932,1034
22,13789,2594,2309,1308
23,12651,2999,2736,1614
24,11404,3380,3264,1952
25,10122,3725,3805,2348
26,8842,3978,4357,2823
27,7582,4136,4825,3457
28,6320,4266,5343,4071
29,5225,4171,5857,4747
30,4189,3998,6305,5508
31,3314,3674,6701,6311
32,2627,3308,6885,7180
33,2057,2988,6915,8040
34,1629,2596,6836,8939
35,1297,2214,6683,9806
36,1031,1868,6424,10677
37,857,1520,6163,11460
38,706,1248,5770,12276
39,608,1047,5357,12988
40,548,858,4905,13689
41,510,691,4461,14338
42,475,560,4068,14897
43,463,460,3681,15396
44,462,391,3290,15857
45,464,325,2942,16269
46,480,284,2667,16569
47,499,242,2427,16832
48,517,200,2182,17101
49,523,186,1938,17353
50,543,161,1731,17565
51,578,121,1557,17744
52,607,107,1374,17912
53,641,111,1206,18042
54,674,91,1085,18150
55,698,84,980,18238
56,746,76,877,18301
57,782,82,761,18375
58,833,72,674,18421
59,883,70,590,18457
60,938,65,538,18459
61,1000,70,473,18457
62,1056,64,431,18449
63,1122,55,394,18429
64,1185,57,347,18411
65,1226,58,292,18424
66,1282,47,274,18397
67,1342,40,256,18362
68,1392,44,222,18342
69,1439,34,204,18323
70,1501,33,182,18284
71,1562,34,161,18243
72,1613,32,148,18207
73,1671,25,142,18162
74,1723,26,128,18123
75,1785,25,111,18079
76,1855,24,103,18018
77,1919,19,98,17964
78,1975,18,84,17923
79,2033,21,78,17868
80,2079,25,66,17830
81,2132,21,65,17782
82,2187,11,71,17731
83,2240,13,70,17677
84,2297,17,56,17630
85,2355,15,56,17574
86,2407,13,51,17529
87,2461,14,48,17477
88,2513,14,43,17430
89,2585,14,42,17359
90,2637,14,39,17310
91,2688,14,33,17265
92,2744,15,30,17211
93,2801,10,35,17154
94,2840,11,30,17119
95,2898,11,27,17064
96,2936,14,28,17022
97,2971,11,30,16988
98,3022,9,30,16939
99,3071,15,23,16891
100,3122,13,23,16842
101,3173,11,21,16795
102,3216,6,24,16754
103,3257,9,20,16714
104,3310,9,16,16665
105,3358,5,20,16617
106,3392,8,20,16580
107,3439,7,23,16531
108,3482,8,20,16490
109,3526,9,21,16444
110,3577,11,19,16393
111,3608,15,19,16358
112,3668,13,21,16298
113,3710,8,24,16258
114,3757,9,24,16210
115,3802,12,25,16161
116,3846,14,21,16119
117,3881,15,22,16082
118,3926,10,22,16042
119,3972,11,20,15997
120,4012,13,21,15954
121,4052,15,20,15913
122,4086,13,19,15882
123,4130,14,16,15840
124,4177,14,17,15792
125,4216,7,23,15754
126,4260,10,21,15709
127,4288,8,21,15683
128,4336,7,24,15633
129,4397,9,22,15572
130,4435,11,20,15534
131,4474,15,18,15493
132,4524,11,21,15444
133,4569,9,23,15399
134,4614,13,24,15349
135,4647,16,26,15311
136,4679,18,26,15277
137,4722,17,28,15233
138,4756,12,33,15199
139,4793,12,23,15172
140,4831,15,23,15131
141,4869,13,27,15091
142,4909,18,23,15050
143,4944,17,25,15014
144,4980,21,23,14976
145,5018,22,23,14937
146,5049,25,22,14904
147,5091,21,26,14862
148,5128,20,27,14825
149,5164,17,30,14789
150,5201,21,32,14746
151,5234,13,39,14714
152,5266,16,39,14679
153,5309,23,38,14630
154,5355,26,40,14579
155,5395,30,39,14536
156,5430,25,41,14504
157,5466,23,44,14467
158,5494,22,47,14437
159,5524,27,46,14403
160,5539,39,45,14377
161,5566,39,49,14346
162,5603,40,50,14307
163,5623,39,52,14286
164,5659,41,59,14241
165,5693,45,62,14200
166,5723,41,63,14173
167,5758,34,76,14132
168,5784,43,71,14102
169,5813,48,77,14062
170,5832,50,79,14039
171,5848,52,88,14012
172,5874,59,92,13975
173,5898,60,95,13947
174,5925,64,94,13917
175,5935,73,93,13899
176,5958,68,105,13869
177,5978,70,108,13844
178,5994,71,116,13819
179,6012,80,121,13787
180,6042,83,119,13756
181,6047,91,119,13743
182,6060,88,131,13721
183,6078,86,139,13697
184,6102,87,154,13657
185,6116,93,159,13632
186,6121,107,165,13607
187,6122,110,169,13599
188,6135,113,182,13570
189,6126,122,195,13557
190,6127,140,188,13545
191,6124,144,208,13524
192,6113,156,217,13514
193,6106,155,239,13500
194,6100,136,267,13497
195,6071,174,267,13488
196,6054,186,272,13488
197,6029,199,290,13482
198,6006,217,289,13488
199,6001,212,304,13483
200,5986,216,315,13483
201,5966,206,340,13488
202,5939,218,361,13482
203,5912,225,375,13488
204,5862,263,387,13488
205,5833,259,413,13495
206,5776,293,429,13502
207,5698,316,467,13519
208,5660,334,476,13530
209,5620,321,513,13546
210,5555,339,537,13569
211,5489,359,549,13603
212,5421,382,573,13624
213,5336,401,603,13660
214,5253,422,619,13706
215,5186,406,651,13757
216,5109,422,671,13798
217,5052,401,709,13838
218,4983,407,739,13871
219,4903,409,770,13918
220,4817,435,791,13957
221,4746,435,823,13996
222,4658,428,854,14060
223,4591,437,868,14104
224,4494,447,905,14154
225,4410,472,891,14227
226,4310,489,909,14292
227,4222,491,925,14362
228,4129,502,919,14450
229,4052,497,932,14519
230,3958,515,942,14585
231,3882,511,957,14650
232,3829,483,991,14697
233,3732,493,973,14802
234,3670,455,983,14892
235,3607,444,950,14999
236,3528,428,972,15072
237,3470,428,967,15135
238,3418,425,962,15195
239,3365,422,972,15241
240,3307,404,966,15323
241,3262,395,959,15384
242,3220,407,927,15446
243,3195,395,919,15491
244,3157,374,928,15541
245,3126,365,918,15591
246,3101,363,870,15666
247,3076,380,830,15714
248,3063,363,822,15752
249,3031,352,822,15795
250,3026,330,807,15837
251,3020,312,800,15868
252,2993,310,783,15914
253,3005,302,764,15929
254,2998,287,747,15968
255,3002,283,723,15992
256,2980,286,711,16023
257,2973,281,686,16060
258,3010,268,657,16065
259,3013,259,657,16071
260,3004,263,646,16087
261,3020,267,634,16079
262,3040,255,626,16079
263,3069,214,637,16080
264,3074,221,625,16080
265,3077,228,589,16106
266,3101,242,574,16083
267,3112,230,561,16097
268,3132,219,536,16113
269,3170,207,528,16095
270,3172,223,527,16078
271,3189,220,507,16084
272,3214,219,502,16065
273,3237,226,488,16049
274,3277,214,484,16025
275,3300,210,488,16002
276,3306,220,464,16010
277,3344,202,477,15977
278,3383,205,465,15947
279,3404,203,453,15940
280,3426,212,444,15918
281,3453,208,451,15888
282,3494,208,452,15846
283,3516,197,460,15827
284,3525,207,454,15814
285,3543,217,443,15797
286,3590,196,444,15770
287,3625,186,433,15756
288,3654,195,429,15722
289,3690,196,416,15698
290,3711,203,414,15672
291,3731,221,403,15645
292,3755,225,408,15612
293,3787,234,403,15576
294,3805,233,409,15553
295,3817,230,422,15531
296,3854,222,423,15501
297,3884,233,401,15482
298,3917,225,399,15459
299,3951,218,422,15409
300,3980,229,421,15370
301,4005,245,428,15322
302,4031,223,457,15289
303,4042,214,462,15282
304,4048,208,464,15280
