day,susceptibleCount,exposedCount,infectedCount,recoveredCount
0,19839,141,20,0
1,19576,359,64,1
2,18969,871,151,9
3,17354,2220,399,27
4,13918,5029,977,76
5,8319,9144,2337,200
6,2847,11986,4640,527
7,398,11053,7448,1101
8,18,8293,9618,2071
9,0,5929,10693,3378
10,7,4240,10924,4829
11,9,3016,10690,6285
12,25,2195,10101,7679
13,20,1589,9412,8979
14,35,1152,8667,10146
15,32,841,7838,11289
16,31,629,7002,12338
17,37,482,6231,13250
18,41,350,5542,14067
19,58,290,4878,14774
20,64,245,4288,15403
21,60,218,3778,15944
22,71,194,3354,16381
23,85,183,2929,16803
24,94,174,2561,17171
25,100,164,2257,17479
26,119,159,2026,17696
27,119,156,1781,17944
28,144,150,1599,18107
29,163,153,1419,18265
30,178,161,1245,18416
31,188,160,1119,18533
32,212,167,1010,18611
33,228,160,906,18706
34,266,165,832,18737
35,280,186,754,18780
36,312,197,670,18821
37,363,193,629,18815
38,375,200,582,18843
39,380,193,564,18863
40,404,205,521,18870
41,421,207,502,18870
42,437,209,483,18871
43,449,206,478,18867
44,466,203,465,18866
45,476,197,450,18877
46,491,204,440,18865
47,519,198,445,18838
48,545,208,423,18824
49,555,222,412,18811
50,552,233,410,18805
51,577,229,416,18778
52,598,232,419,18751
53,586,254,427,18733
54,613,266,441,18680
55,599,262,470,18669
56,601,272,472,18655
57,577,289,485,18649
58,583,276,513,18628
59,570,300,517,18613
60,577,303,528,18592
61,569,280,558,18593
62,563,290,536,18611
63,583,291,516,18610
64,595,297,526,18582
65,598,304,536,18562
66,592,321,533,18554
67,591,312,546,18551
68,597,321,554,18528
69,586,330,561,18523
70,590,337,561,18512
71,607,349,548,18496
72,605,354,552,18489
73,624,338,548,18490
74,618,345,555,18482
75,612,341,564,18483
76,616,340,582,18462
77,599,376,598,18427
78,578,373,598,18451
79,565,389,618,18428
80,542,388,638,18432
81,525,383,635,18457
82,545,373,649,18433
83,526,367,681,18426
84,493,376,699,18432
85,467,390,687,18456
86,491,344,704,18461
87,530,342,706,18422
88,528,351,718,18403
89,518,361,720,18401
90,532,354,707,18407
91,523,374,695,18408
92,510,385,698,18407
93,514,372,704,18410
94,540,381,701,18378
95,543,363,728,18366
96,522,367,734,18377
97,531,365,719,18385
98,533,381,707,18379
99,546,379,712,18363
100,556,395,715,18334
101,543,397,732,18328
102,552,392,755,18301
103,553,395,768,18284
104,539,390,787,18284
105,510,402,781,18307
106,507,408,782,18303
107,510,399,804,18287
108,493,413,808,18286
109,486,390,819,18305
110,501,383,813,18303
111,495,393,809,18303
112,507,377,830,18286
113,525,383,814,18278
114,519,389,818,18274
115,531,385,805,18279
116,532,398,781,18289
117,531,394,780,18295
118,518,402,764,18316
119,532,391,769,18308
120,535,402,769,18294
121,520,429,763,18288
122,519,411,780,18290
123,520,411,780,18289
124,507,400,790,18303
125,531,392,782,18295
126,551,413,752,18284
127,567,403,759,18271
128,587,416,744,18253
129,583,399,781,18237
130,572,434,779,18215
131,579,420,794,18207
132,571,438,787,18204
133,543,458,781,18218
134,592,410,800,18198
135,572,434,791,18203
136,576,454,785,18185
137,585,445,812,18158
138,561,440,832,18167
139,532,447,829,18192
140,509,438,835,18218
141,507,456,825,18212
142,524,448,820,18208
143,530,456,813,18201
144,565,443,828,18164
145,528,475,810,18187
146,504,478,824,18194
147,495,467,838,18200
148,532,455,860,18153
149,538,463,862,18137
150,531,478,862,18129
151,502,476,901,18121
152,478,490,888,18144
153,498,474,886,18142
154,521,448,919,18112
155,509,450,931,18110
156,512,468,901,18119
157,533,474,904,18089
158,512,468,920,18100
159,508,457,910,18125
160,523,436,929,18112
161,518,440,904,18138
162,519,446,899,18136
163,520,443,894,18143
164,512,448,878,18162
165,528,431,900,18141
166,525,469,861,18145
167,526,470,877,18127
168,536,458,887,18119
169,522,480,887,18111
170,532,470,921,18077
171,529,451,928,18092
172,523,462,906,18109
173,544,445,922,18089
174,514,493,891,18102
175,521,475,897,18107
176,535,458,941,18066
177,543,449,955,18053
178,537,467,953,18043
179,490,496,959,18055
180,457,501,952,18090
181,498,465,919,18118
182,489,457,910,18144
183,512,449,902,18137
184,527,442,925,18106
185,531,463,903,18103
186,533,471,888,18108
187,535,466,913,18086
188,534,462,922,18082
189,519,456,936,18089
190,508,467,902,18123
191,519,441,886,18154
192,525,444,898,18133
193,520,446,901,18133
194,536,434,927,18103
195,514,467,911,18108
196,510,464,934,18092
197,529,457,924,18090
198,528,470,943,18059
199,522,460,973,18045
200,516,467,973,18044
201,517,457,975,18051
202,545,466,961,18028
203,527,477,959,18037
204,524,491,941,18044
205,543,473,941,18043
206,524,458,968,18050
207,529,467,976,18028
208,534,482,964,18020
209,530,472,962,18036
210,516,469,978,18037
211,509,471,970,18050
212,517,468,965,18050
213,505,480,962,18053
214,531,473,960,18036
215,517,461,950,18072
216,497,459,956,18088
217,510,449,965,18076
218,504,472,952,18072
219,501,467,973,18059
220,510,470,960,18060
221,508,477,938,18077
222,506,483,930,18081
223,512,463,933,18092
224,506,463,948,18083
225,546,460,917,18077
226,534,467,916,18083
227,537,459,932,18072
228,549,483,920,18048
229,548,489,931,18032
230,546,506,958,17990
231,550,491,975,17984
232,528,488,953,18031
233,507,488,931,18074
234,497,491,938,18074
235,484,488,929,18099
236,507,492,910,18091
237,528,457,907,18108
238,535,451,892,18122
239,563,441,872,18124
240,549,461,855,18135
241,554,470,856,18120
242,552,468,884,18096
243,556,481,884,18079
244,591,466,893,18050
245,604,469,929,17998
246,603,473,940,17984
247,584,495,954,17967
248,562,521,937,17980
249,547,554,945,17954
250,544,541,966,17949
251,530,539,998,17933
252,518,514,1012,17956
253,502,491,999,18008
254,509,509,1004,17978
255,510,518,984,17988
256,515,512,970,18003
257,528,489,983,18000
258,536,497,994,17973
259,536,504,978,17982
260,543,529,961,17967
261,552,516,975,17957
262,545,496,1019,17940
263,518,510,1008,17964
264,514,505,997,17984
265,491,533,983,17993
266,515,520,967,17998
267,529,515,983,17973
268,492,518,987,18003
269,485,498,984,18033
270,505,463,987,18045
271,502,477,980,18041
272,516,460,1001,18023
273,503,457,1012,18028
274,510,455,1010,18025
275,496,483,988,18033
276,499,487,990,18024
277,498,470,993,18039
278,495,465,991,18049
279,513,461,985,18041
280,522,448,968,18062
281,539,459,951,18051
282,526,486,941,18047
283,530,499,946,18025
284,558,495,947,18000
285,567,512,938,17983
286,560,518,961,17961
287,546,540,989,17925
288,550,524,1005,17921
289,544,506,1001,17949
290,532,531,991,17946
291,520,532,1002,17946
292,524,509,1026,17941
293,497,532,1009,17962
294,511,496,1050,17943
295,522,497,1032,17949
296,510,533,1008,17949
297,515,534,1004,17947
