day,susceptibleCount,exposedCount,infectedCount,recoveredCount
0,19962,18,20,0
1,19944,30,25,1
2,19919,43,36,2
3,19891,60,44,5
4,19862,80,50,8
5,19814,103,71,12
6,19755,134,87,24
7,19685,158,121,36
8,19592,196,159,53
9,19456,274,199,71
10,19288,355,263,94
11,19066,470,340,124
12,18792,611,425,172
13,18470,781,523,226
14,18034,994,659,313
15,17537,1224,836,403
16,16938,1470,1062,530
17,16213,1760,1363,664
18,15346,2106,1686,862
19,14307,2566,2035,1092
20,13170,2968,2482,1380
21,11936,3329,3032,1703
22,10545,3760,3611,2084
23,9163,4016,4256,2565
24,7746,4370,4781,3103
25,6429,4499,5349,3723
26,5253,4364,6022,4361
27,4174,4243,6471,5112
28,3277,3917,6842,5964
29,2582,3506,7053,6859
30,1974,3138,7089,7799
31,1565,2658,7072,8705
32,1242,2264,6847,9647
33,991,1878,6564,10567
34,823,1550,6257,11370
35,695,1255,5892,12158
36,602,1019,5478,12901
37,538,824,5047,13591
38,500,670,4607,14223
39,476,547,4210,14767
40,471,447,3809,15273
41,460,368,3430,15742
42,464,316,3067,16153
43,475,246,2776,16503
44,483,235,2466,16816
45,513,180,2222,17085
46,534,159,1993,17314
47,558,148,1767,17527
48,570,139,1542,17749
49,602,133,1373,17892
50,635,134,1226,18005
51,687,109,1128,18076
52,725,104,998,18173
53,775,100,874,18251
54,822,93,801,18284
55,865,92,708,18335
56,906,89,626,18379
57,940,88,570,18402
58,1003,78,515,18404
59,1045,67,473,18415
60,1102,68,419,18411
61,1147,64,371,18418
62,1208,56,341,18395
63,1265,52,313,18370
64,1315,41,290,18354
65,1376,36,263,18325
66,1433,33,242,18292
67,1512,36,225,18227
68,1583,34,205,18178
69,1633,38,179,18150
70,1693,35,169,18103
71,1754,36,150,18060
72,1797,43,132,18028
73,1851,38,126,17985
74,1914,41,114,17931
75,1971,29,116,17884
76,2021,26,117,17836
77,2075,26,104,17795
78,2122,27,97,17754
79,2172,22,100,17706
80,2216,22,91,17671
81,2262,26,84,17628
82,2313,23,83,17581
83,2358,24,81,17537
84,2410,20,79,17491
85,2455,29,76,17440
86,2494,32,72,17402
87,2553,23,72,17352
88,2593,21,63,17323
89,2654,19,57,17270
90,2722,12,57,17209
91,2768,14,53,17165
92,2823,16,48,17113
93,2873,19,41,17067
94,2915,21,38,17026
95,2960,13,42,16985
96,3009,15,33,16943
97,3058,12,35,16895
98,3113,10,38,16839
99,3172,13,36,16779
100,3218,12,36,16734
101,3260,16,38,16686
102,3309,15,39,16637
103,3365,16,43,16576
104,3419,14,44,16523
105,3462,13,42,16483
106,3501,18,41,16440
107,3541,16,41,16402
108,3575,14,42,16369
109,3625,14,38,16323
110,3669,11,34,16286
111,3714,13,32,16241
112,3756,12,31,16201
113,3805,11,30,16154
114,3864,8,27,16101
115,3905,8,26,16061
116,3945,9,23,16023
117,3979,11,22,15988
118,4027,7,23,15943
119,4064,13,22,15901
120,4113,13,17,15857
121,4154,12,20,15814
122,4194,10,22,15774
123,4234,9,21,15736
124,4288,11,19,15682
125,4331,12,18,15639
126,4378,9,19,15594
127,4413,17,15,15555
128,4469,12,18,15501
129,4518,10,15,15457
130,4556,13,13,15418
131,4590,11,15,15384
132,4642,11,18,15329
133,4690,13,18,15279
134,4740,16,16,15228
135,4771,14,15,15200
136,4810,13,15,15162
