day,susceptibleCount,exposedCount,infectedCount,recoveredCount
0,19963,17,20,0
1,19947,29,22,2
2,19926,40,30,4
3,19897,54,43,6
4,19861,77,50,12
5,19828,87,67,18
6,19784,105,85,26
7,19732,127,106,35
8,19654,169,122,55
9,19559,219,150,72
10,19453,260,195,92
11,19294,348,242,116
12,19086,455,309,150
13,18856,554,398,192
14,18582,686,484,248
15,18230,839,618,313
16,17782,1049,780,389
17,17245,1273,985,497
18,16571,1587,1212,630
19,15815,1891,1497,797
20,14874,2316,1820,990
21,13830,2707,2255,1208
22,12661,3100,2770,1469
23,11378,3524,3264,1834
24,10052,3818,3857,2273
25,8636,4146,4443,2775
26,7247,4327,5109,3317
27,5961,4349,5735,3955
28,4748,4342,6212,4698
29,3721,4123,6662,5494
30,2844,3840,6986,6330
31,2197,3375,7158,7270
32,1705,2911,7171,8213
33,1331,2470,7053,9146
34,1024,2114,6788,10074
35,828,1765,6467,10940
36,693,1403,6083,11821
37,580,1146,5729,12545
38,505,934,5284,13277
39,445,754,4886,13915
40,420,634,4398,14548
41,401,501,4017,15081
42,402,415,3643,15540
43,397,363,3249,15991
44,398,302,2928,16372
45,412,259,2626,16703
46,444,214,2349,16993
47,460,198,2068,17274
48,469,182,1848,17501
49,526,146,1650,17678
50,555,128,1481,17836
51,581,119,1335,17965
52,623,105,1183,18089
53,671,98,1059,18172
54,695,98,919,18288
55,746,86,830,18338
56,788,86,741,18385
57,824,91,664,18421
58,871,85,605,18439
59,907,75,538,18480
60,971,80,475,18474
61,1017,74,428,18481
62,1060,72,398,18470
63,1120,65,345,18470
64,1180,55,317,18448
65,1243,46,293,18418
66,1306,44,266,18384
67,1343,58,236,18363
68,1397,51,218,18334
69,1450,41,200,18309
70,1513,37,186,18264
71,1585,35,166,18214
72,1623,41,142,18194
73,1683,42,137,18138
74,1744,34,126,18096
75,1798,32,111,18059
76,1849,27,106,18018
77,1894,25,94,17987
78,1954,27,84,17935
79,2005,29,81,17885
80,2053,25,78,17844
81,2094,30,68,17808
82,2167,27,59,17747
83,2210,23,61,17706
84,2275,18,61,17646
85,2334,10,60,17596
86,2388,13,55,17544
87,2455,13,44,17488
88,2510,11,43,17436
89,2562,12,42,17384
90,2616,14,43,17327
91,2660,10,48,17282
92,2707,10,42,17241
93,2745,14,39,17202
94,2799,15,34,17152
95,2862,13,33,17092
96,2907,16,31,17046
97,2956,12,30,17002
98,3002,10,28,16960
99,3054,13,27,16906
100,3094,15,26,16865
101,3143,15,27,16815
102,3205,12,27,16756
103,3256,13,22,16709
104,3298,12,26,16664
105,3339,14,26,16621
106,3376,18,19,16587
107,3427,17,19,16537
108,3476,14,21,16489
109,3524,15,23,16438
110,3575,14,26,16385
111,3608,15,25,16352
112,3649,17,24,16310
113,3699,15,25,16261
114,3756,11,30,16203
115,3791,10,30,16169
116,3835,7,29,16129
117,3890,7,29,16074
118,3926,9,26,16039
119,3984,11,21,15984
120,4018,10,23,15949
121,4070,14,22,15894
122,4105,16,25,15854
123,4135,17,23,15825
124,4175,14,23,15788
125,4223,14,25,15738
126,4272,13,26,15689
127,4314,11,23,15652
128,4355,8,24,15613
129,4399,9,27,15565
130,4436,13,27,15524
131,4472,13,31,15484
132,4502,13,31,15454
133,4544,18,30,15408
134,4580,18,27,15375
135,4624,18,28,15330
136,4664,19,31,15286
137,4708,19,31,15242
138,4747,16,34,15203
139,4775,18,35,15172
140,4808,25,34,15133
141,4846,25,41,15088
142,4896,26,44,15034
143,4930,31,44,14995
144,4961,26,50,14963
145,4997,25,52,14926
146,5022,29,44,14905
147,5051,21,50,14878
148,5081,24,52,14843
149,5117,26,53,14804
150,5145,32,53,14770
151,5180,23,61,14736
152,5222,30,63,14685
153,5252,35,66,14647
154,5286,38,64,14612
155,5317,40,66,14577
156,5342,41,72,14545
157,5356,54,65,14525
158,5373,44,77,14506
159,5403,44,86,14467
160,5445,46,84,14425
161,5479,48,76,14397
162,5495,60,83,14362
163,5505,64,92,14339
164,5552,69,98,14281
165,5571,76,100,14253
166,5583,82,103,14232
167,5609,74,117,14200
168,5628,69,125,14178
169,5635,75,128,14162
170,5633,93,125,14149
171,5649,87,135,14129
172,5664,89,142,14105
173,5661,100,147,14092
174,5681,101,154,14064
175,5679,114,168,14039
176,5688,119,176,14017
177,5687,123,191,13999
178,5684,133,207,13976
179,5686,143,202,13969
180,5674,145,217,13964
181,5671,156,226,13947
182,5668,158,240,13934
183,5664,167,248,13921
184,5655,177,251,13917
185,5653,160,282,13905
186,5619,189,299,13893
187,5584,220,310,13886
188,5538,229,343,13890
189,5518,229,362,13891
190,5490,226,382,13902
191,5448,253,379,13920
192,5417,256,391,13936
193,5374,273,410,13943
194,5353,262,441,13944
195,5332,257,458,13953
196,5269,290,475,13966
197,5215,322,487,13976
198,5168,327,513,13992
199,5111,331,553,14005
200,5027,384,570,14019
201,4957,399,592,14052
202,4894,396,631,14079
203,4818,401,668,14113
204,4739,415,687,14159
205,4679,413,709,14199
206,4600,417,733,14250
207,4500,440,750,14310
208,4417,433,774,14376
209,4348,423,778,14451
210,4278,443,776,14503
211,4214,441,787,14558
212,4139,434,821,14606
213,4037,450,841,14672
214,3942,457,879,14722
215,3885,428,918,14769
