day,susceptibleCount,exposedCount,infectedCount,recoveredCount
0,19962,18,20,0
1,19946,30,22,2
2,19938,27,27,8
3,19915,40,30,15
4,19890,57,31,22
5,19862,73,38,27
6,19823,90,53,34
7,19791,98,71,40
8,19727,133,93,47
9,19644,175,117,64
10,19561,212,144,83
11,19458,259,183,100
12,19331,304,242,123
13,19169,381,293,157
14,18936,504,366,194
15,18679,607,472,242
16,18352,772,587,289
17,17992,913,745,350
18,17465,1193,898,444
19,16873,1430,1125,572
20,16175,1732,1389,704
21,15329,2088,1684,899
22,14430,2404,2072,1094
23,13336,2829,2481,1354
24,12163,3175,2969,1693
25,10869,3562,3466,2103
26,9591,3873,3989,2547
27,8312,4030,4598,3060
28,7068,4134,5137,3661
29,5881,4146,5625,4348
30,4732,4128,6029,5111
31,3821,3894,6441,5844
32,3042,3595,6678,6685
33,2405,3260,6754,7581
34,1907,2834,6803,8456
35,1501,2476,6650,9373
36,1224,2072,6498,10206
37,993,1742,6258,11007
38,821,1439,5934,11806
39,684,1211,5615,12490
40,613,998,5169,13220
41,535,824,4737,13904
42,483,674,4336,14507
43,464,527,3916,15093
44,463,411,3526,15600
45,468,337,3179,16016
46,481,293,2827,16399
47,478,254,2537,16731
48,508,221,2260,17011
49,524,200,2029,17247
50,529,164,1814,17493
51,560,155,1627,17658
52,611,138,1451,17800
53,639,133,1289,17939
54,673,121,1173,18033
55,690,127,1054,18129
56,731,130,929,18210
57,773,119,811,18297
58,821,104,737,18338
59,870,98,658,18374
60,916,87,587,18410
61,974,88,534,18404
62,1015,90,482,18413
63,1080,77,440,18403
64,1131,74,391,18404
65,1189,71,351,18389
66,1241,73,310,18376
67,1306,63,289,18342
68,1355,56,266,18323
69,1416,57,231,18296
70,1479,56,219,18246
71,1535,57,213,18195
72,1588,52,200,18160
73,1628,48,180,18144
74,1674,44,181,18101
75,1728,47,162,18063
76,1758,59,148,18035
77,1811,46,147,17996
78,1864,43,131,17962
79,1918,41,118,17923
80,1968,31,118,17883
81,2035,27,106,17832
82,2108,25,99,17768
83,2168,29,89,17714
84,2215,32,78,17675
85,2271,30,72,17627
86,2333,27,71,17569
87,2394,26,73,17507
88,2443,27,68,17462
89,2506,24,62,17408
90,2557,26,59,17358
91,2612,21,55,17312
92,2662,21,60,17257
93,2706,22,60,17212
94,2746,20,53,17181
95,2799,20,49,17132
96,2845,19,49,17087
97,2894,20,46,17040
98,2946,21,46,16987
99,2991,24,47,16938
100,3035,22,50,16893
101,3084,19,50,16847
102,3128,19,49,16804
103,3185,19,46,16750
104,3236,16,44,16704
105,3285,20,43,16652
106,3325,17,39,16619
107,3369,16,37,16578
108,3410,15,39,16536
109,3457,17,35,16491
110,3505,19,36,16440
111,3551,21,34,16394
112,3593,19,40,16348
113,3636,20,42,16302
114,3678,20,45,16257
115,3724,18,46,16212
116,3769,20,40,16171
117,3811,20,36,16133
118,3849,25,35,16091
119,3893,24,38,16045
120,3932,25,39,16004
121,3986,24,42,15948
122,4020,29,41,15910
123,4063,24,46,15867
124,4114,26,46,15814
125,4151,22,49,15778
126,4189,23,51,15737
127,4224,25,47,15704
128,4258,28,39,15675
129,4302,20,44,15634
130,4337,26,42,15595
131,4372,29,34,15565
132,4417,28,38,15517
133,4450,24,39,15487
134,4482,25,37,15456
135,4520,16,48,15416
136,4568,17,51,15364
137,4604,18,45,15333
138,4657,20,43,15280
139,4704,14,49,15233
140,4744,17,52,15187
141,4795,20,47,15138
142,4826,23,47,15104
143,4859,18,51,15072
144,4887,24,48,15041
145,4928,25,52,14995
146,4972,23,55,14950
147,5005,25,55,14915
148,5049,21,57,14873
149,5072,29,51,14848
150,5111,31,51,14807
151,5145,31,56,14768
152,5186,36,54,14724
153,5202,41,62,14695
154,5245,47,66,14642
155,5266,58,64,14612
156,5290,51,76,14583
157,5323,54,73,14550
158,5357,52,79,14512
159,5395,56,79,14470
160,5408,51,92,14449
161,5432,61,89,14418
162,5471,64,96,14369
163,5490,63,103,14344
164,5510,71,107,14312
165,5540,72,115,14273
166,5557,80,111,14252
167,5579,86,119,14216
168,5602,89,122,14187
169,5609,102,127,14162
170,5634,90,137,14139
171,5639,90,145,14126
172,5642,96,148,14114
173,5661,93,159,14087
174,5698,87,167,14048
175,5709,82,178,14031
176,5709,103,181,14007
177,5721,106,187,13986
178,5732,121,190,13957
179,5728,132,200,13940
180,5728,159,205,13908
181,5724,171,208,13897
182,5737,167,220,13876
183,5736,163,240,13861
184,5721,164,259,13856
185,5705,163,281,13851
186,5679,187,284,13850
187,5652,216,293,13839
188,5636,218,324,13822
189,5621,221,335,13823
190,5578,256,337,13829
191,5567,232,381,13820
192,5541,230,413,13816
193,5498,259,422,13821
194,5474,268,423,13835
195,5446,272,440,13842
196,5401,289,456,13854
197,5356,302,475,13867
198,5295,304,491,13910
199,5244,318,523,13915
200,5208,337,521,13934
201,5161,335,529,13975
202,5116,327,563,13994
203,5070,346,579,14005
204,5020,365,587,14028
205,4985,351,606,14058
206,4918,357,627,14098
207,4848,362,631,14159
208,4756,394,642,14208
209,4682,389,669,14260
210,4609,401,676,14314
211,4575,375,704,14346
212,4511,380,729,14380
213,4449,394,734,14423
214,4379,407,748,14466
215,4304,420,760,14516
216,4238,403,789,14570
217,4178,419,780,14623
218,4144,412,771,14673
219,4086,417,782,14715
220,4056,413,784,14747
221,3993,411,803,14793
222,3961,384,821,14834
223,3890,401,801,14908
224,3849,391,809,14951
225,3800,390,810,15000
226,3790,366,811,15033
227,3726,375,799,15100
228,3660,400,800,15140
229,3620,402,795,15183
230,3580,391,810,15219
231,3527,372,823,15278
232,3488,369,816,15327
233,3448,375,805,15372
234,3396,367,804,15433
235,3352,372,791,15485
236,3304,378,801,15517
237,3280,364,793,15563
238,3282,337,784,15597
239,3265,339,769,15627
240,3253,330,757,15660
241,3243,342,744,15671
242,3225,332,737,15706
243,3209,323,730,15738
244,3202,318,734,15746
245,3198,303,736,15763
246,3180,293,727,15800
247,3156,309,716,15819
248,3158,304,700,15838
249,3172,279,693,15856
250,3176,273,684,15867
